CQS Symbol,ETF,Financial Status,Listing Exchange,Market Category,NASDAQ Symbol,Nasdaq Traded,NextShares,Round Lot Size,Security Name,Symbol,Test Issue
"",N,N,Q,Q,ACLS,Y,N,100,"Axcelis Technologies, Inc. - Common Stock",ACLS,N
"",N,N,Q,Q,ACLX,Y,N,100,"Arcellx, Inc. - Common Stock",ACLX,N
ACM,N,"",N, ,ACM,Y,N,100,AECOM Common Stock,ACM,N
"",N,N,Q,G,ACMR,Y,N,100,"ACM Research, Inc. - Class A Common Stock",ACMR,N
ACN,N,"",N, ,ACN,Y,N,100,Accenture plc Class A Ordinary Shares (Ireland),ACN,N
"",N,N,Q,S,ACNB,Y,N,100,ACNB Corporation - Common Stock,ACNB,N
"",N,N,Q,G,ACNT,Y,N,100,Ascent Industries Co. - Common Stock,ACNT,N
"",N,D,Q,S,ACON,Y,N,100,"Aclarion, Inc. - Common Stock",ACON,N
"",N,N,Q,S,ACONW,Y,N,100,"Aclarion, Inc. - Warrant",ACONW,N
"",N,D,Q,Q,ACOR,Y,N,100,"Acorda Therapeutics, Inc. - Common Stock",ACOR,N
ACP,N,"",N, ,ACP,Y,N,100,abrdn Income Credit Strategies Fund Common Shares,ACP,N
ACPpA,N,"",N, ,ACP-A,Y,N,100,abrdn Income Credit Strategies Fund 5.250% Series A Perpetual Preferred Stock,ACP$A,N
"",N,N,Q,S,ACQR,Y,N,100,Independence Holdings Corp. - Class A Ordinary Share,ACQR,N
"",N,N,Q,S,ACQRU,Y,N,100,Independence Holdings Corp. - Units,ACQRU,N
"",N,N,Q,S,ACQRW,Y,N,100,Independence Holdings Corp. - Warrant,ACQRW,N
ACR,N,"",N, ,ACR,Y,N,100,ACRES Commercial Realty Corp. Common Stock,ACR,N
ACRpC,N,"",N, ,ACR-C,Y,N,100,ACRES Commercial Realty Corp. 8.625% Fixed-to-Floating Series C Cumulative Redeemable Preferred Stock ,ACR$C,N
ACRpD,N,"",N, ,ACR-D,Y,N,100,ACRES Commercial Realty Corp. 7.875% Series D Cumulative Redeemable Preferred Stock,ACR$D,N
ACRE,N,"",N, ,ACRE,Y,N,100,Ares Commercial Real Estate Corporation Common Stock,ACRE,N
ACRO,N,"",N, ,ACRO,Y,N,100,Acropolis Infrastructure Acquisition Corp. Class A Common Stock,ACRO,N
ACRO.U,N,"",N, ,ACRO=,Y,N,100,"Acropolis Infrastructure Acquisition Corp. Units, each consisting of one share of Class A Common Stock and one-third of one Warrant",ACRO.U,N
ACRO.WS,N,"",N, ,ACRO+,Y,N,100,Acropolis Infrastructure Acquisition Corp. Warrants,ACRO.W,N
"",N,N,Q,Q,ACRS,Y,N,100,"Aclaris Therapeutics, Inc. - Common Stock",ACRS,N
"",N,N,Q,G,ACRV,Y,N,100,"Acrivon Therapeutics, Inc. - Common Stock",ACRV,N
"",N,N,Q,G,ACRX,Y,N,100,"AcelRx Pharmaceuticals, Inc. - Common Stock",ACRX,N
ACSI,Y,"",Z, ,ACSI,Y,N,100,American Customer Satisfaction ETF,ACSI,N
"",N,D,Q,S,ACST,Y,N,100,"Acasti Pharma, Inc.  - Class A Common Stock",ACST,N
"",N,N,Q,Q,ACT,Y,N,100,"Enact Holdings, Inc. - Common Stock",ACT,N
"",N,N,Q,Q,ACTG,Y,N,100,Acacia Research Corporation - Common Stock,ACTG,N
ACTV,Y,"",P, ,ACTV,Y,N,100,LeaderShares Activist Leaders ETF,ACTV,N
ACU,N,"",A, ,ACU,Y,N,100,Acme United Corporation. Common Stock,ACU,N
ACV,N,"",N, ,ACV,Y,N,100,Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest,ACV,N
"",N,N,Q,Q,ACVA,Y,N,100,ACV Auctions Inc. - Class A Common Stock,ACVA,N
ACVF,Y,"",P, ,ACVF,Y,N,100,American Conservative Values ETF,ACVF,N
ACWF,Y,"",P, ,ACWF,Y,N,100,iShares MSCI Global Multifactor ETF,ACWF,N
"",Y,N,Q,G,ACWI,Y,N,100,iShares MSCI ACWI ETF,ACWI,N
ACWV,Y,"",Z, ,ACWV,Y,N,100,iShares MSCI Global Min Vol Factor ETF,ACWV,N
"",Y,N,Q,G,ACWX,Y,N,100,iShares MSCI ACWI ex US Index Fund,ACWX,N
"",N,N,Q,S,ACXP,Y,N,100,"Acurx Pharmaceuticals, Inc. - Common Stock",ACXP,N
"",N,N,Q,G,ADAG,Y,N,100,"Adagene Inc. - ADS, each representing 1.25 ordinary shares",ADAG,N
"",N,N,Q,G,ADAL,Y,N,100,Anthemis Digital Acquisitions I Corp - Class A Ordinary Shares,ADAL,N
"",N,N,Q,G,ADALU,Y,N,100,Anthemis Digital Acquisitions I Corp - Unit,ADALU,N
"",N,N,Q,G,ADALW,Y,N,100,Anthemis Digital Acquisitions I Corp - Warrant,ADALW,N
"",N,N,Q,Q,ADAP,Y,N,100,Adaptimmune Therapeutics plc - American Depositary Shares,ADAP,N
"",N,N,Q,Q,ADBE,Y,N,100,Adobe Inc. - Common Stock,ADBE,N
ADC,N,"",N, ,ADC,Y,N,100,Agree Realty Corporation Common Stock,ADC,N
ADCpA,N,"",N, ,ADC-A,Y,N,100,"Agree Realty Corporation Depositary Shares, each representing 1/1,000th of a 4.250% Series A Cumulative Redeemable Preferred Stock",ADC$A,N
