CQS Symbol,ETF,Financial Status,Listing Exchange,Market Category,NASDAQ Symbol,Nasdaq Traded,NextShares,Round Lot Size,Security Name,Symbol,Test Issue
"",N,N,Q,G,LAND,Y,N,100,Gladstone Land Corporation - Common Stock,LAND,N
"",N,N,Q,G,LANDM,Y,N,100,Gladstone Land Corporation - 5.00% Series D Cumulative Term Preferred Stock,LANDM,N
"",N,N,Q,G,LANDO,Y,N,100,Gladstone Land Corporation - 6.00% Series B Cumulative Redeemable Preferred Stock,LANDO,N
LANV,N,"",N, ,LANV,Y,N,100,Lanvin Group Holdings Limited Ordinary Shares,LANV,N
LANV.WS,N,"",N, ,LANV+,Y,N,100,"Lanvin Group Holdings Limited Redeemable Warrants, each whole warrant exercisable for one Ordinary Share at an exercise price of $11.50",LANV.W,N
"",N,N,Q,G,LARK,Y,N,100,Landmark Bancorp Inc. - Common Stock,LARK,N
"",N,N,Q,S,LASE,Y,N,100,Laser Photonics Corporation - Common Stock,LASE,N
"",N,N,Q,Q,LASR,Y,N,100,"nLIGHT, Inc. - Common Stock",LASR,N
"",N,N,Q,G,LATG,Y,N,100,LatAmGrowth SPAC - Class A Ordinary Shares,LATG,N
"",N,N,Q,G,LATGU,Y,N,100,LatAmGrowth SPAC - Units,LATGU,N
"",N,N,Q,G,LATGW,Y,N,100,LatAmGrowth SPAC - Warrants,LATGW,N
"",N,N,Q,Q,LAUR,Y,N,100,"Laureate Education, Inc. - Common Stock",LAUR,N
LAW,N,"",N, ,LAW,Y,N,100,"CS Disco, Inc. Common Stock",LAW,N
LAZ,N,"",N, ,LAZ,Y,N,100,"Lazard LTD. Lazard, LTD. Class A Common Stock",LAZ,N
"",N,N,Q,Q,LAZR,Y,N,100,"Luminar Technologies, Inc.  - Class A Common Stock",LAZR,N
"",N,N,Q,S,LAZY,Y,N,100,"Lazydays Holdings, Inc. - Common Stock",LAZY,N
"",N,N,Q,Q,LBAI,Y,N,100,"Lakeland Bancorp, Inc. - Common Stock",LBAI,N
LBAY,Y,"",P, ,LBAY,Y,N,100,Leatherback Long/Short Alternative Yield ETF,LBAY,N
"",N,N,Q,G,LBBB,Y,N,100,Lakeshore Acquisition II Corp. - Ordinary Shares,LBBB,N
"",N,N,Q,G,LBBBR,Y,N,100,Lakeshore Acquisition II Corp. - Rights,LBBBR,N
"",N,N,Q,G,LBBBU,Y,N,100,Lakeshore Acquisition II Corp. - Unit,LBBBU,N
"",N,N,Q,G,LBBBW,Y,N,100,Lakeshore Acquisition II Corp. - Warrants,LBBBW,N
"",N,N,Q,Q,LBC,Y,N,100,Luther Burbank Corporation - Common Stock,LBC,N
"",N,N,Q,G,LBPH,Y,N,100,"Longboard Pharmaceuticals, Inc. - Common Stock",LBPH,N
"",N,N,Q,Q,LBRDA,Y,N,100,Liberty Broadband Corporation - Class A Common Stock,LBRDA,N
"",N,N,Q,Q,LBRDK,Y,N,100,Liberty Broadband Corporation - Class C Common Stock,LBRDK,N
"",N,N,Q,Q,LBRDP,Y,N,100,Liberty Broadband Corporation - Series A Cumulative Redeemable Preferred Stock,LBRDP,N
LBRT,N,"",N, ,LBRT,Y,N,100,Liberty Energy Inc. Class A common stock,LBRT,N
"",N,N,Q,Q,LBTYA,Y,N,100,Liberty Global plc - Class A Ordinary Shares,LBTYA,N
"",N,N,Q,Q,LBTYB,Y,N,100,Liberty Global plc - Class B Ordinary Shares,LBTYB,N
"",N,N,Q,Q,LBTYK,Y,N,100,Liberty Global plc - Class C Ordinary Shares,LBTYK,N
LC,N,"",N, ,LC,Y,N,100,LendingClub Corporation Common Stock,LC,N
"",N,N,Q,S,LCA,Y,N,100,"Landcadia Holdings IV, Inc. - Class A Common Stock",LCA,N
"",N,N,Q,S,LCAA,Y,N,100,L Catterton Asia Acquisition Corp - Class A Ordinary Shares,LCAA,N
"",N,N,Q,S,LCAAU,Y,N,100,L Catterton Asia Acquisition Corp - Units,LCAAU,N
"",N,N,Q,S,LCAAW,Y,N,100,L Catterton Asia Acquisition Corp - Warrant,LCAAW,N
"",N,N,Q,S,LCAHU,Y,N,100,"Landcadia Holdings IV, Inc. - Units",LCAHU,N
"",N,N,Q,S,LCAHW,Y,N,100,"Landcadia Holdings IV, Inc. - Warrant",LCAHW,N
LCF,Y,"",Z, ,LCF,Y,N,100,Touchstone ETF Trust Touchstone US Large Cap Focused ETF,LCF,N
"",N,N,Q,S,LCFY,Y,N,100,Locafy Limited - Ordinary Share,LCFY,N
"",N,N,Q,S,LCFYW,Y,N,100,Locafy Limited - Warrant,LCFYW,N
LCG,Y,"",P, ,LCG,Y,N,100,Sterling Capital Focus Equity ETF,LCG,N
LCI,N,"",N, ,LCI,Y,N,100,Lannett Co Inc Common Stock,LCI,N
"",N,N,Q,Q,LCID,Y,N,100,"Lucid Group, Inc. - Common Stock",LCID,N
LCII,N,"",N, ,LCII,Y,N,100,LCI Industries,LCII,N
LCLG,Y,"",P, ,LCLG,Y,N,100,Advisors Series Trust Logan Capital Broad Innovative Growth ETF,LCLG,N
"",N,N,Q,S,LCNB,Y,N,100,LCNB Corporation - Common Stock,LCNB,N
LCR,Y,"",P, ,LCR,Y,N,100,Leuthold Core ETF,LCR,N
LCTD,Y,"",P, ,LCTD,Y,N,100,BlackRock World ex U.S. Carbon Transition Readiness ETF,LCTD,N
LCTU,Y,"",P, ,LCTU,Y,N,100,BlackRock U.S. Carbon Transition Readiness ETF,LCTU,N
LCTX,N,"",A, ,LCTX,Y,N,100,"Lineage Cell Therapeutics, Inc. Common Stock",LCTX,N
"",N,N,Q,Q,LCUT,Y,N,100,"Lifetime Brands, Inc. - Common Stock",LCUT,N
LCW,N,"",N, ,LCW,Y,N,100,Learn CW Investment Corporation Class A Ordinary Shares,LCW,N
LCW.U,N,"",N, ,LCW=,Y,N,100,"Learn CW Investment Corporation Units, each consisting of one Class A ordinary share and one-half of one redeemable warrant",LCW.U,N
LCW.WS,N,"",N, ,LCW+,Y,N,100,"Learn CW Investment Corporation Redeemable warrants, each whole warrant exercisable for one Class A ordinary share at an exercise price of $11.50 per share",LCW.W,N
LD,N,"",P, ,LD,Y,N,100,iPath Bloomberg Lead Subindex Total Return SM Index ETN,LD,N
"",Y,N,Q,G,LDEM,Y,N,100,iShares ESG MSCI EM Leaders ETF,LDEM,N
"",N,N,Q,S,LDHA,Y,N,100,LDH Growth Corp I - Class A Ordinary Shares,LDHA,N
"",N,N,Q,S,LDHAU,Y,N,100,LDH Growth Corp I - Units,LDHAU,N
"",N,N,Q,S,LDHAW,Y,N,100,LDH Growth Corp I - Warrant,LDHAW,N
LDI,N,"",N, ,LDI,Y,N,100,"loanDepot, Inc. Class A Common Stock",LDI,N
LDOS,N,"",N, ,LDOS,Y,N,100,"Leidos Holdings, Inc. Common Stock",LDOS,N
LDP,N,"",N, ,LDP,Y,N,100,"Cohen & Steers Limited Duration Preferred and Income Fund, Inc.",LDP,N
"",Y,N,Q,G,LDSF,Y,N,100,First Trust Low Duration Strategic Focus ETF,LDSF,N
LDUR,Y,"",P, ,LDUR,Y,N,100,PIMCO Enhanced Low Duration Active Exchange-Traded Fund,LDUR,N
"",N,N,Q,S,LE,Y,N,100,"Lands' End, Inc. - Common Stock",LE,N
LEA,N,"",N, ,LEA,Y,N,100,Lear Corporation Common Stock,LEA,N
LEAD,Y,"",Z, ,LEAD,Y,N,100,Siren DIVCON Leaders Dividend ETF,LEAD,N
"",N,N,Q,Q,LECO,Y,N,100,"Lincoln Electric Holdings, Inc. - Common Shares",LECO,N
"",N,N,Q,S,LEDS,Y,N,100,SemiLEDS Corporation - Common Stock,LEDS,N
"",N,E,Q,Q,LEE,Y,N,100,"Lee Enterprises, Incorporated - Common Stock",LEE,N
LEG,N,"",N, ,LEG,Y,N,100,"Leggett & Platt, Incorporated Common Stock",LEG,N
"",N,D,Q,S,LEGA,Y,N,100,"Lead Edge Growth Opportunities, Ltd - Class A Ordinary Shares",LEGA,N
"",N,D,Q,S,LEGAU,Y,N,100,"Lead Edge Growth Opportunities, Ltd - Units",LEGAU,N
"",N,D,Q,S,LEGAW,Y,N,100,"Lead Edge Growth Opportunities, Ltd - Warrant",LEGAW,N
"",N,N,Q,Q,LEGH,Y,N,100,Legacy Housing Corporation - Common Stock,LEGH,N
"",N,E,Q,Q,LEGN,Y,N,100,Legend Biotech Corporation - American Depositary Shares,LEGN,N
"",Y,N,Q,G,LEGR,Y,N,100,First Trust Indxx Innovative Transaction & Process ETF,LEGR,N
LEJU,N,"",N, ,LEJU,Y,N,100,"Leju Holdings Limited American Depositary Shares, each representing one Ordinary share",LEJU,N
LEMB,Y,"",P, ,LEMB,Y,N,100,iShares J.P. Morgan EM Local Currency Bond,LEMB,N
LEN,N,"",N, ,LEN,Y,N,100,Lennar Corporation Class A Common Stock,LEN,N
LEN.B,N,"",N, ,LEN.B,Y,N,100,Lennar Corporation Class B,LEN.B,N
LEO,N,"",N, ,LEO,Y,N,100,"BNY Mellon Strategic Municipals, Inc. Common Stock",LEO,N
"",N,N,Q,Q,LESL,Y,N,100,"Leslie's, Inc. - Common Stock",LESL,N
LETB,Y,"",P, ,LETB,Y,N,100,AdvisorShares Trust AdvisorShares Let Bob AI Powered Momentum ETF,LETB,N
LEU,N,"",A, ,LEU,Y,N,100,Centrus Energy Corp. Class A Common Stock,LEU,N
LEV,N,"",N, ,LEV,Y,N,100,The Lion Electric Company Common Shares,LEV,N
LEV.WS.A,N,"",N, ,LEV+A,Y,N,100,The Lion Electric Company Warrants to purchase common shares,LEV.A,N
LEV.WS,N,"",N, ,LEV+,Y,N,100,"The Lion Electric Company Redeemable Warrants, each whole warrant entitles the holder to purchase one Common Share at a price of $11.50 per share",LEV.W,N
LEVI,N,"",N, ,LEVI,Y,N,100,Levi Strauss & Co Class A Common Stock,LEVI,N
LEXI,Y,"",P, ,LEXI,Y,N,100,Alexis Practical Tactical ETF,LEXI,N
"",N,N,Q,S,LEXX,Y,N,100,Lexaria Bioscience Corp. - Common Stock,LEXX,N
"",N,N,Q,S,LEXXW,Y,N,100,Lexaria Bioscience Corp. - Warrant,LEXXW,N
"",N,N,Q,G,LFAC,Y,N,100,LF Capital Acquisition Corp. II - Class A Common Stock,LFAC,N
"",N,N,Q,G,LFACU,Y,N,100,LF Capital Acquisition Corp. II - Units,LFACU,N
"",N,N,Q,G,LFACW,Y,N,100,LF Capital Acquisition Corp. II - Warrants,LFACW,N
"",N,N,Q,Q,LFCR,Y,N,100,"Lifecore Biomedical, Inc. - Common Stock",LFCR,N
LFEQ,Y,"",P, ,LFEQ,Y,N,100,VanEck Long/Flat Trend ETF,LFEQ,N
"",N,D,Q,G,LFLY,Y,N,100,"Leafly Holdings, Inc. - Common Stock",LFLY,N
"",N,D,Q,G,LFLYW,Y,N,100,"Leafly Holdings, Inc. - Warrant",LFLYW,N
"",N,N,Q,G,LFMD,Y,N,100,"LifeMD, Inc. - Common Stock",LFMD,N
"",N,N,Q,G,LFMDP,Y,N,100,"LifeMD, Inc. - 8.875% Series A Cumulative Perpetual Preferred Stock",LFMDP,N
"",N,N,Q,Q,LFST,Y,N,100,"LifeStance Health Group, Inc. - Common Stock",LFST,N
LFT,N,"",N, ,LFT,Y,N,100,"Lument Finance Trust, Inc. Common Stock",LFT,N
LFTpA,N,"",N, ,LFT-A,Y,N,100,"Lument Finance Trust, Inc. 7.875% Series A Cumulative Redeemable Preferred Stock",LFT$A,N
"",N,N,Q,Q,LFUS,Y,N,100,"Littelfuse, Inc. - Common Stock",LFUS,N
"",N,N,Q,S,LFVN,Y,N,100,Lifevantage Corporation - Common Stock,LFVN,N
"",N,N,Q,S,LGAC,Y,N,100,Lazard Growth Acquisition Corp. I - Ordinary Shares,LGAC,N
"",N,N,Q,S,LGACU,Y,N,100,Lazard Growth Acquisition Corp. I - Units,LGACU,N
"",N,N,Q,S,LGACW,Y,N,100,Lazard Growth Acquisition Corp. I - Warrants,LGACW,N
LGF.A,N,"",N, ,LGF.A,Y,N,100,Lions Gate Entertainment Corporation Class A Voting Shares,LGF.A,N
LGF.B,N,"",N, ,LGF.B,Y,N,100,Lions Gate Entertainment Corporation Class B Non-Voting Shares,LGF.B,N
LGH,Y,"",P, ,LGH,Y,N,100,HCM Defender 500 Index ETF,LGH,N
"",N,N,Q,S,LGHL,Y,N,100,Lion Group Holding Ltd. - American Depositary Share,LGHL,N
"",N,N,Q,S,LGHLW,Y,N,100,Lion Group Holding Ltd. - Warrant,LGHLW,N
LGI,N,"",N, ,LGI,Y,N,100,Lazard Global Total Return and Income Fund Common Stock,LGI,N
"",N,N,Q,Q,LGIH,Y,N,100,"LGI Homes, Inc. - Common Stock",LGIH,N
LGL,N,"",A, ,LGL,Y,N,100,"LGL Group, Inc. (The) Common Stock",LGL,N
LGL.WS,N,"",A, ,LGL+,Y,N,100,"LGL Group, Inc. (The) Warrants",LGL.W,N
LGLV,Y,"",P, ,LGLV,Y,N,100,SPDR SSGA US Large Cap Low Volatility Index ETF,LGLV,N
"",N,D,Q,S,LGMK,Y,N,100,"LogicMark, Inc. - Common Stock",LGMK,N
"",N,N,Q,G,LGND,Y,N,100,Ligand Pharmaceuticals Incorporated - Common Stock,LGND,N
"",N,N,Q,Q,LGO,Y,N,100,Largo Inc. - Common Shares,LGO,N
LGOV,Y,"",P, ,LGOV,Y,N,100,First Trust Long Duration Opportunities ETF,LGOV,N
"",N,N,Q,G,LGST,Y,N,100,Semper Paratus Acquisition Corporation - Class A Ordinary Shares,LGST,N
"",N,N,Q,G,LGSTU,Y,N,100,Semper Paratus Acquisition Corporation - Unit,LGSTU,N
"",N,N,Q,G,LGSTW,Y,N,100,Semper Paratus Acquisition Corporation - Warrant,LGSTW,N
"",N,N,Q,G,LGTO,Y,N,100,Legato Merger Corp. II - Common Stock,LGTO,N
"",N,N,Q,G,LGTOU,Y,N,100,Legato Merger Corp. II - Unit,LGTOU,N
"",N,N,Q,G,LGTOW,Y,N,100,Legato Merger Corp. II - Warrants,LGTOW,N
"",N,N,Q,G,LGVC,Y,N,100,LAMF Global Ventures Corp. I - Class A Ordinary Shares,LGVC,N
"",N,N,Q,G,LGVCU,Y,N,100,LAMF Global Ventures Corp. I - Unit,LGVCU,N
"",N,N,Q,G,LGVCW,Y,N,100,LAMF Global Ventures Corp. I - Warrant,LGVCW,N
"",N,N,Q,S,LGVN,Y,N,100,Longeveron Inc. - common stock,LGVN,N
LH,N,"",N, ,LH,Y,N,100,Laboratory Corporation of America Holdings Common Stock,LH,N
LHC,N,"",N, ,LHC,Y,N,100,Leo Holdings Corp. II Class A Ordinary Shares,LHC,N
LHC.U,N,"",N, ,LHC=,Y,N,100,"Leo Holdings Corp. II Units, each consisting of one Class A ordinary share and one-third of one redeemable warrant",LHC.U,N
"",N,D,Q,Q,LHCG,Y,N,100,LHC Group - common stock,LHCG,N
"",N,D,Q,Q,LHDX,Y,N,100,"Lucira Health, Inc. - Common Stock",LHDX,N
LHX,N,"",N, ,LHX,Y,N,100,"L3Harris Technologies, Inc. Common Stock",LHX,N
"",N,N,Q,Q,LI,Y,N,100,Li Auto Inc. - American Depositary Shares,LI,N
"",N,N,Q,G,LIAN,Y,N,100,LianBio - American Depositary Shares,LIAN,N
"",N,N,Q,G,LIBY,Y,N,100,Liberty Resources Acquisition Corp. - Class A Common Stock,LIBY,N
"",N,N,Q,G,LIBYU,Y,N,100,Liberty Resources Acquisition Corp. - Unit,LIBYU,N
"",N,N,Q,G,LIBYW,Y,N,100,Liberty Resources Acquisition Corp. - Warrant,LIBYW,N
LICY,N,"",N, ,LICY,Y,N,100,Li-Cycle Holdings Corp. Common Shares,LICY,N
"",N,N,Q,S,LIDR,Y,N,100,"AEye, Inc. - Class A Common Stock",LIDR,N
"",N,N,Q,S,LIDRW,Y,N,100,"AEye, Inc. - Warrant",LIDRW,N
"",N,N,Q,S,LIFE,Y,N,100,"aTyr Pharma, Inc. - Common Stock",LIFE,N
"",N,N,Q,G,LIFW,Y,N,100,"MSP Recovery, Inc. - Class A Common Stock",LIFW,N
"",N,N,Q,G,LIFWW,Y,N,100,"MSP Recovery, Inc. - Warrant",LIFWW,N
"",N,N,Q,G,LIFWZ,Y,N,100,"MSP Recovery, Inc. - Warrant",LIFWZ,N
LII,N,"",N, ,LII,Y,N,100,"Lennox International, Inc. Common Stock",LII,N
"",N,N,Q,Q,LILA,Y,N,100,Liberty Latin America Ltd. - Class A Common Stock,LILA,N
"",N,N,Q,Q,LILAK,Y,N,100,Liberty Latin America Ltd. - Class C Common Stock,LILAK,N
"",N,N,Q,Q,LILM,Y,N,100,Lilium N.V. - Class A Ordinary Shares,LILM,N
"",N,N,Q,Q,LILMW,Y,N,100,Lilium N.V. - Warrants,LILMW,N
LIN,N,"",N, ,LIN,Y,N,100,Linde plc Ordinary Share,LIN,N
"",N,N,Q,Q,LINC,Y,N,100,Lincoln Educational Services Corporation - Common Stock,LINC,N
"",N,N,Q,S,LIND,Y,N,100,Lindblad Expeditions Holdings Inc.  - Common Stock,LIND,N
"",N,N,Q,S,LINK,Y,N,100,"Interlink Electronics, Inc. - Common Stock",LINK,N
"",N,N,Q,G,LION,Y,N,100,Lionheart III Corp - Class A Common Stock,LION,N
"",N,N,Q,G,LIONU,Y,N,100,Lionheart III Corp - Unit,LIONU,N
"",N,N,Q,G,LIONW,Y,N,100,Lionheart III Corp - Warrant,LIONW,N
"",N,N,Q,S,LIPO,Y,N,100,Lipella Pharmaceuticals Inc. - Common Stock,LIPO,N
"",N,D,Q,S,LIQT,Y,N,100,"LiqTech International, Inc. - Common Stock",LIQT,N
LIT,Y,"",P, ,LIT,Y,N,100,Global X Lithium & Battery Tech ETF,LIT,N
LITB,N,"",N, ,LITB,Y,N,100,"LightInTheBox Holding Co., Ltd. American Depositary Shares, each representing 2 ordinary shares",LITB,N
"",N,N,Q,Q,LITE,Y,N,100,Lumentum Holdings Inc. - Common Stock,LITE,N
"",N,D,Q,S,LITM,Y,N,100,Snow Lake Resources Ltd. - Common Shares,LITM,N
"",N,N,Q,G,LITT,Y,N,100,Logistics Innovation Technologies Corp. - Class A Common stock,LITT,N
"",N,N,Q,G,LITTU,Y,N,100,Logistics Innovation Technologies Corp. - Units,LITTU,N
"",N,N,Q,G,LITTW,Y,N,100,Logistics Innovation Technologies Corp. - Warrant,LITTW,N
"",N,N,Q,G,LIVB,Y,N,100,LIV Capital Acquisition Corp. II - Class A Ordinary Shares,LIVB,N
"",N,N,Q,G,LIVBU,Y,N,100,LIV Capital Acquisition Corp. II - Unit,LIVBU,N
"",N,N,Q,G,LIVBW,Y,N,100,LIV Capital Acquisition Corp. II - Warrants,LIVBW,N
"",N,N,Q,S,LIVE,Y,N,100,Live Ventures Incorporated - Common Stock,LIVE,N
"",N,N,Q,Q,LIVN,Y,N,100,LivaNova PLC - Ordinary Shares,LIVN,N
"",N,D,Q,S,LIXT,Y,N,100,"Lixte Biotechnology Holdings, Inc. - Common Stock",LIXT,N
"",N,N,Q,S,LIXTW,Y,N,100,"Lixte Biotechnology Holdings, Inc. - Warrants",LIXTW,N
"",N,D,Q,G,LIZI,Y,N,100,LIZHI INC. - American Depositary Shares,LIZI,N
"",N,D,Q,S,LKCO,Y,N,100,Luokung Technology Corp - Ordinary Shares,LKCO,N
"",N,N,Q,Q,LKFN,Y,N,100,Lakeland Financial Corporation - Common Stock,LKFN,N
LKOR,Y,"",Z, ,LKOR,Y,N,100,FlexShares Trust FlexShares Credit-Scored US Long Corporate Bond Index Fund,LKOR,N
"",N,N,Q,Q,LKQ,Y,N,100,LKQ Corporation - Common Stock,LKQ,N
LL,N,"",N, ,LL,Y,N,100,"LL Flooring Holdings, Inc. Common Stock",LL,N
LLAP,N,"",N, ,LLAP,Y,N,100,Terran Orbital Corporation Common Stock,LLAP,N
LLAP.WS,N,"",N, ,LLAP+,Y,N,100,"Terran Orbital Corporation Redeemable Warrants, each whole warrant exercisable for one share of Common Stock at an exercise price of $11.50",LLAP.W,N
LLY,N,"",N, ,LLY,Y,N,100,Eli Lilly and Company Common Stock,LLY,N
"",N,N,Q,G,LMAT,Y,N,100,"LeMaitre Vascular, Inc. - Common Stock",LMAT,N
"",N,N,Q,S,LMB,Y,N,100,"Limbach Holdings, Inc. - Common Stock",LMB,N
"",Y,N,Q,G,LMBS,Y,N,100,First Trust Low Duration Opportunities ETF,LMBS,N
"",N,N,Q,G,LMDX,Y,N,100,LumiraDx Limited - Common stock,LMDX,N
"",N,N,Q,G,LMDXW,Y,N,100,LumiraDx Limited - Warrant,LMDXW,N
"",N,D,Q,S,LMFA,Y,N,100,"LM Funding America, Inc. - Common Stock",LMFA,N
LMND,N,"",N, ,LMND,Y,N,100,"Lemonade, Inc. Common Stock",LMND,N
"",N,D,Q,S,LMNL,Y,N,100,Liminal BioSciences Inc. - Common Shares,LMNL,N
"",N,N,Q,Q,LMNR,Y,N,100,Limoneira Co - Common Stock,LMNR,N
"",N,N,Q,S,LMST,Y,N,100,"Limestone Bancorp, Inc. - Common Stock",LMST,N
LMT,N,"",N, ,LMT,Y,N,100,Lockheed Martin Corporation Common Stock,LMT,N
LNC,N,"",N, ,LNC,Y,N,100,Lincoln National Corporation Common Stock,LNC,N
LNCpD,N,"",N, ,LNC-D,Y,N,100,"Lincoln National Corporation Depositary Shares Each Representing a 1/1,000th Interest in a Share of 9.000% Non-Cumulative Preferred Stock, Series D",LNC$D,N
LND,N,"",N, ,LND,Y,N,100,Brasilagro Brazilian Agric Real Estate Co Sponsored ADR (Brazil),LND,N
LNG,N,"",A, ,LNG,Y,N,100,"Cheniere Energy, Inc. Common Stock",LNG,N
"",N,N,Q,S,LNKB,Y,N,100,"LINKBANCORP, Inc. - Common Stock",LNKB,N
LNN,N,"",N, ,LNN,Y,N,100,Lindsay Corporation Common Stock,LNN,N
"",N,N,Q,S,LNSR,Y,N,100,"LENSAR, Inc. - Common Stock",LNSR,N
"",N,N,Q,Q,LNT,Y,N,100,Alliant Energy Corporation - Common Stock,LNT,N
"",N,N,Q,G,LNTH,Y,N,100,"Lantheus Holdings, Inc. - Common Stock",LNTH,N
"",N,N,Q,Q,LNW,Y,N,100,"Light & Wonder, Inc.  - Common Stock",LNW,N
"",N,N,Q,S,LOAN,Y,N,100,"Manhattan Bridge Capital, Inc - Common Stock",LOAN,N
LOB,N,"",N, ,LOB,Y,N,100,"Live Oak Bancshares, Inc. Common Stock",LOB,N
LOCC,N,"",N, ,LOCC,Y,N,100,Live Oak Crestview Climate Acquisition Corp. Class A Common Stock,LOCC,N
LOCC.U,N,"",N, ,LOCC=,Y,N,100,"Live Oak Crestview Climate Acquisition Corp. Units, each consisting of one share of Class A common stock, and one-third of one warrant",LOCC.U,N
LOCC.WS,N,"",N, ,LOCC+,Y,N,100,"Live Oak Crestview Climate Acquisition Corp. Warrants, exercisable for one share of Class A common stock at an exercise price of $11.50 per share",LOCC.W,N
LOCL,N,"",N, ,LOCL,Y,N,100,Local Bounti Corporation Common Stock,LOCL,N
LOCL.WS,N,"",N, ,LOCL+,Y,N,100,"Local Bounti Corporation Redeemable Warrants, each whole warrant exercisable for one share of Common Stock at an exercise price of $11.50",LOCL.W,N
"",N,N,Q,Q,LOCO,Y,N,100,"El Pollo Loco Holdings, Inc. - Common Stock",LOCO,N
LODE,N,"",A, ,LODE,Y,N,100,Comstock Inc. Common Stock,LODE,N
"",N,N,Q,Q,LOGI,Y,N,100,Logitech International S.A. - Registered Shares,LOGI,N
LOKM,N,"",N, ,LOKM,Y,N,100,Live Oak Mobility Acquisition Corp. Class A Common Stock,LOKM,N
LOKM.U,N,"",N, ,LOKM=,Y,N,100,"Live Oak Mobility Acquisition Corp. Units, each consisting of one share of Class A common stock, and one-fifth of one warrant",LOKM.U,N
LOKM.WS,N,"",N, ,LOKM+,Y,N,100,"Live Oak Mobility Acquisition Corp. Warrants, exercisable for one share of Class A common stock at an exercise price of $11.50 per share",LOKM.W,N
LOMA,N,"",N, ,LOMA,Y,N,100,Loma Negra Compania Industrial Argentina Sociedad Anonima ADS,LOMA,N
LONZ,Y,"",P, ,LONZ,Y,N,100,PIMCO U.S. Treasury Index Fund PIMCO Senior Loan Active Exchange-Traded Fund,LONZ,N
"",N,N,Q,G,LOOP,Y,N,100,"Loop Industries, Inc. - Common Stock",LOOP,N
"",N,N,Q,Q,LOPE,Y,N,100,"Grand Canyon Education, Inc. - Common Stock",LOPE,N
LOPP,Y,"",P, ,LOPP,Y,N,100,Gabelli Love Our Planet & People ETF Gabelli Love Our Planet & People ETF,LOPP,N
LOUP,Y,"",P, ,LOUP,Y,N,100,Innovator Loup Frontier Tech E,LOUP,N
"",N,N,Q,S,LOV,Y,N,100,Spark Networks SE - ADS,LOV,N
"",N,N,Q,G,LOVE,Y,N,100,The Lovesac Company - Common Stock,LOVE,N
LOW,N,"",N, ,LOW,Y,N,100,"Lowe's Companies, Inc. Common Stock",LOW,N
"",N,D,Q,S,LPCN,Y,N,100,Lipocine Inc. - Common Stock,LPCN,N
LPG,N,"",N, ,LPG,Y,N,100,Dorian LPG Ltd. Common Stock,LPG,N
LPL,N,"",N, ,LPL,Y,N,100,"LG Display Co, Ltd AMERICAN DEPOSITORY SHARES",LPL,N
"",N,N,Q,Q,LPLA,Y,N,100,LPL Financial Holdings Inc. - Common Stock,LPLA,N
"",N,N,Q,G,LPRO,Y,N,100,Open Lending Corporation - Class A Common Stock,LPRO,N
"",N,N,Q,Q,LPSN,Y,N,100,"LivePerson, Inc. - Common Stock",LPSN,N
"",N,N,Q,S,LPTH,Y,N,100,"LightPath Technologies, Inc. - Class A Common Stock",LPTH,N
LPTV,N,"",A, ,LPTV,Y,N,100,"Loop Media, Inc. Common Stock",LPTV,N
"",N,D,Q,G,LPTX,Y,N,100,"Leap Therapeutics, Inc. - Common Stock",LPTX,N
LPX,N,"",N, ,LPX,Y,N,100,Louisiana-Pacific Corporation Common Stock,LPX,N
LQD,Y,"",P, ,LQD,Y,N,100,iShares iBoxx $ Investment Grade Corporate Bond ETF,LQD,N
"",N,N,Q,S,LQDA,Y,N,100,Liquidia Corporation - Common Stock,LQDA,N
LQDB,Y,"",P, ,LQDB,Y,N,100,iShares Trust iShares BBB Rated Corporate Bond ETF,LQDB,N
LQDH,Y,"",P, ,LQDH,Y,N,100,iShares Interest Rate Hedged Corporate Bond ETF,LQDH,N
LQDI,Y,"",Z, ,LQDI,Y,N,100,iShares Inflation Hedged Corporate Bond ETF,LQDI,N
"",N,N,Q,Q,LQDT,Y,N,100,"Liquidity Services, Inc. - Common Stock",LQDT,N
LQDW,Y,"",Z, ,LQDW,Y,N,100,iShares Trust iShares Investment Grade Corporate Bond BuyWrite Strategy ETF,LQDW,N
LQIG,Y,"",P, ,LQIG,Y,N,100,SPDR Series Trust SPDR MarketAxess Investment Grade 400 Corporate Bond ETF,LQIG,N
"",N,N,Q,Q,LRCX,Y,N,100,Lam Research Corporation - Common Stock,LRCX,N
"",N,N,Q,Q,LRFC,Y,N,100,Logan Ridge Finance Corporation - Common Stock,LRFC,N
"",Y,N,Q,G,LRGE,Y,N,100,ClearBridge Large Cap Growth ESG ETF,LRGE,N
LRGF,Y,"",P, ,LRGF,Y,N,100,iShares U.S. Equity Factor ETF,LRGF,N
"",N,N,Q,G,LRMR,Y,N,100,"Larimar Therapeutics, Inc. - Common Stock",LRMR,N
LRN,N,"",N, ,LRN,Y,N,100,"Stride, Inc. Common Stock",LRN,N
"",Y,N,Q,G,LRND,Y,N,100,IQ U.S. Large Cap R&D Leaders ETF,LRND,N
LRNZ,Y,"",P, ,LRNZ,Y,N,100,"TrueShares Technology, AI & Deep Learning ETF",LRNZ,N
LSAF,Y,"",P, ,LSAF,Y,N,100,LeaderShares AlphaFactor US Core Equity ETF,LSAF,N
